Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
Mum Indians,Supergiants,Supergiants,9 wickets,Mumbai,04-09-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html
KKR,Daredevils,KKR,9 wickets,Kolkata,04-10-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html
Kings XI,Guj Lions,Guj Lions,5 wickets,Mohali,04-11-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html
RCB,Sunrisers,RCB,45 runs,Bengaluru,04-12-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html
KKR,Mum Indians,Mum Indians,6 wickets,Kolkata,04-13-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html
Guj Lions,Supergiants,Guj Lions,7 wickets,Rajkot,04-14-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html
Daredevils,Kings XI,Daredevils,8 wickets,Delhi,04-15-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980913.html
Sunrisers,KKR,KKR,8 wickets,Hyderabad (Deccan),04-16-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980915.html
Mum Indians,Guj Lions,Guj Lions,3 wickets,Mumbai,04-16-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980917.html
Kings XI,Supergiants,Kings XI,6 wickets,Mohali,04-17-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980919.html
RCB,Daredevils,Daredevils,7 wickets,Bengaluru,04-17-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980921.html
Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),04-18-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980923.html
Kings XI,KKR,KKR,6 wickets,Mohali,04-19-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980925.html
Mum Indians,RCB,Mum Indians,6 wickets,Mumbai,04-20-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980927.html
Guj Lions,Sunrisers,Sunrisers,10 wickets,Rajkot,04-21-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980929.html
Supergiants,RCB,RCB,13 runs,Pune,04-22-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980931.html
Daredevils,Mum Indians,Daredevils,10 runs,Delhi,04-23-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980933.html
Sunrisers,Kings XI,Sunrisers,5 wickets,Hyderabad (Deccan),04-23-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980935.html
Guj Lions,RCB,Guj Lions,6 wickets,Rajkot,04-24-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980937.html
Supergiants,KKR,KKR,2 wickets,Pune,04-24-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980939.html
Kings XI,Mum Indians,Mum Indians,25 runs,Mohali,04-25-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980941.html
Sunrisers,Supergiants,Supergiants,34 runs,Hyderabad (Deccan),04-26-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980943.html
Daredevils,Guj Lions,Guj Lions,1 run,Delhi,04-27-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980945.html
Mum Indians,KKR,Mum Indians,6 wickets,Mumbai,04-28-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980947.html
Supergiants,Guj Lions,Guj Lions,3 wickets,Pune,04-29-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980949.html
Daredevils,KKR,Daredevils,27 runs,Delhi,04-30-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980951.html
Sunrisers,RCB,Sunrisers,15 runs,Hyderabad (Deccan),04-30-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980953.html
Guj Lions,Kings XI,Kings XI,23 runs,Rajkot,05-01-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980955.html
Supergiants,Mum Indians,Mum Indians,8 wickets,Pune,05-01-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980957.html
RCB,KKR,KKR,5 wickets,Bengaluru,05-02-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980959.html
Guj Lions,Daredevils,Daredevils,8 wickets,Rajkot,05-03-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980961.html
KKR,Kings XI,KKR,7 runs,Kolkata,05-04-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980963.html
Daredevils,Supergiants,Supergiants,7 wickets,Delhi,05-05-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980965.html
Sunrisers,Guj Lions,Sunrisers,5 wickets,Hyderabad (Deccan),05-06-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980967.html
RCB,Supergiants,RCB,7 wickets,Bengaluru,05-07-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980969.html
Kings XI,Daredevils,Kings XI,9 runs,Mohali,05-07-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980971.html
Mum Indians,Sunrisers,Sunrisers,85 runs,Visakhapatnam,05-08-2016,2016,http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980973.html
